stimulus,word_index,word_index_in_sentence,word,sentence,surprisal,num_tokens,frequency
arg_pisacowsmilk_10_page_1,0,0,Laptele,Laptele de vacă - Introducere,1.2699314790694798,1,1.05e-05
arg_pisacowsmilk_10_page_1,1,1,de,Laptele de vacă - Introducere,0.0021717108234155487,1,0.0525
arg_pisacowsmilk_10_page_1,2,2,vacă,Laptele de vacă - Introducere,2.826457506634774,1,6.31e-06
arg_pisacowsmilk_10_page_1,3,3,-,Laptele de vacă - Introducere,0.9251936211409751,1,0.0
arg_pisacowsmilk_10_page_1,4,4,Introducere,Laptele de vacă - Introducere,10.857728374732055,1,1.55e-05
arg_pisacowsmilk_10_page_1,5,0,În,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",0.01806007795092763,1,0.0295
arg_pisacowsmilk_10_page_1,6,1,anumite,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",3.0714256030769316,1,0.000102
arg_pisacowsmilk_10_page_1,7,2,locuri,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",5.760513783634323,1,0.000141
arg_pisacowsmilk_10_page_1,8,3,precum,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",0.9564463179680556,1,0.000631
arg_pisacowsmilk_10_page_1,9,4,Statele,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",0.0046830267529166265,1,0.000123
arg_pisacowsmilk_10_page_1,10,5,Unite,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",1.6522338850010052,1,0.000123
arg_pisacowsmilk_10_page_1,11,6,a,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",0.012307227563008666,1,0.0282
arg_pisacowsmilk_10_page_1,12,7,bea,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",4.083206268070201,1,3.24e-05
arg_pisacowsmilk_10_page_1,13,8,lapte,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",0.07808517114212661,1,3.8e-05
arg_pisacowsmilk_10_page_1,14,9,de,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",0.0006324328151213832,1,0.0525
arg_pisacowsmilk_10_page_1,15,10,vacă,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",2.5075051001847712,1,6.31e-06
arg_pisacowsmilk_10_page_1,16,11,este,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",0.6260789306845462,1,0.00851
arg_pisacowsmilk_10_page_1,17,12,ceva,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",0.47999789694398604,1,0.000617
